"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","Q3A1"
"VT","【Q3】 TOMA"
"HT","KPI"
"BT","b1.Base-Total Respondents"
"CH",,"Rolling wave",,,,,"National",,,,,
"CL",,"Aug+Sep (a)","Sep+Nov (b)","Nov+Dec (c)","Dec+Jan (d)","Jan+March (e)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)"
"RW","Kans",383.0,456.0,483.0,497.0,520.0,167.0,216.0,240.0,243.0,254.0,266.0
"PV",,14.5240803943876,15.2,16.1,16.5666666666667,17.3333333333333,14.6877748460862,14.4,16.0,16.2,16.9333333333333,17.7333333333333
"MK",," "," "," ",a,ab," "," "," "," ",b,ab
"RW","Lancome",450.0,582.0,575.0,561.0,619.0,174.0,276.0,306.0,269.0,292.0,327.0
"PV",,17.0648464163823,19.4,19.1666666666667,18.7,20.6333333333333,15.3034300791557,18.4,20.4,17.9333333333333,19.4666666666667,21.8
"MK",," ",a,a," ",ad," ",a,ad,a,a,abd
"RW","SK-ll",124.0,161.0,163.0,159.0,171.0,46.0,78.0,83.0,80.0,79.0,92.0
"PV",,4.70231323473644,5.36666666666667,5.43333333333333,5.3,5.7,4.0457343887423,5.2,5.53333333333333,5.33333333333333,5.26666666666667,6.13333333333333
"MK",," "," "," "," ",a," "," ",a," "," ",a
"RW","Vichy",16.0,28.0,25.0,22.0,25.0,5.0,11.0,17.0,8.0,14.0,11.0
"PV",,0.606750094804702,0.933333333333333,0.833333333333333,0.733333333333333,0.833333333333333,0.439753737906772,0.733333333333333,1.13333333333333,0.533333333333333,0.933333333333333,0.733333333333333
"MK",," "," "," "," "," "," "," ",ad," "," "," "
"RW","Summary",4738.0,5910.0,6184.0,6373.0,6714.0,1926.0,2812.0,3098.0,3086.0,3287.0,3427.0
"PV",,179.673871824042,197.0,206.133333333333,212.433333333333,223.8,169.393139841689,187.466666666667,206.533333333333,205.733333333333,219.133333333333,228.466666666667
"MK",," "," "," "," "," "," "," "," "," "," "," "
"TE"
"TB","Q5BAS1"
